"Time(s)"," X"," Y"," Z"
"1418210065.581","-88","72","-1000"
"1418210065.745","-184","184","-1288"
"1418210065.828","-160","448","-1512"
"1418210065.911","120","496","-928"
"1418210066.077","512","-24","-664"
"1418210066.160","544","-168","-624"
"1418210066.243","472","-288","-688"
"1418210066.326","464","-320","-712"
"1418210066.409","456","-320","-784"
"1418210066.492","456","-328","-992"
"1418210066.575","496","-288","-832"
"1418210066.658","512","-280","-872"
"1418210066.990","544","-208","-808"
"1418210067.073","504","-168","-1040"
"1418210067.156","632","-64","-776"
"1418210067.239","680","-216","-640"
"1418210067.405","520","-128","-1040"
"1418210067.488","600","-48","-672"
"1418210067.571","568","-272","-720"
"1418210067.656","496","-216","-936"
"1418210067.737","552","-208","-960"
"1418210067.821","632","-144","-664"
"1418210067.904","488","-232","-952"
"1418210067.987","448","-264","-640"
"1418210068.070","448","-480","-640"
"1418210068.153","368","-520","-608"
"1418210068.236","328","-360","-656"
"1418210068.319","168","-216","-808"
"1418210068.402","0","-248","-1032"
"1418210068.485","-112","-240","-1312"
"1418210068.568","-384","608","-2312"
"1418210068.651","-320","296","-984"
"1418210068.734","-216","216","-912"
"1418210068.817","-232","128","-1016"
