"Time(s)"," X"," Y"," Z"
"1418236098.402","-952","304","-256"
"1418236098.568","-976","384","-216"
"1418236098.652","-1008","552","-272"
"1418236098.734","-968","608","-328"
"1418236098.818","-904","648","-392"
"1418236098.902","-864","656","-472"
"1418236098.984","-800","760","-560"
"1418236099.073","-664","848","-512"
"1418236099.153","-440","832","-448"
"1418236099.234","-128","784","-312"
"1418236099.316","88","760","-240"
"1418236099.399","288","736","-120"
"1418236099.482","456","768","-104"
"1418236099.565","544","728","-40"
"1418236099.659","640","688","-32"
"1418236099.731","672","640","-8"
"1418236099.814","696","560","-56"
"1418236099.983","728","560","16"
"1418236100.064","776","552","-16"
"1418236100.147","800","600","56"
"1418236100.230","776","600","-24"
"1418236100.313","728","544","-8"
"1418236100.396","768","528","-40"
"1418236100.479","800","608","72"
"1418236100.562","752","608","-56"
"1418236100.645","712","552","-32"
"1418236100.737","728","536","8"
"1418236100.812","720","608","24"
"1418236100.894","640","592","-8"
"1418236100.977","552","616","-24"
"1418236101.061","416","608","-24"
"1418236101.144","224","464","-120"
"1418236101.227","-88","896","-264"
"1418236101.315","-368","1096","-328"
"1418236101.393","-648","1024","-328"
"1418236101.559","-928","744","-296"
"1418236101.643","-992","584","-312"
"1418236101.725","-1032","496","-328"
"1418236101.808","-984","352","-304"
"1418236101.891","-944","256","-312"
"1418236143.918","208","360","-296"
"1418236144.001","-952","312","-176"
"1418236144.168","-968","336","-152"
"1418236144.251","-1008","360","-328"
"1418236144.334","-1032","512","-312"
"1418236144.417","-1048","840","-560"
"1418236144.500","-872","712","-464"
"1418236144.583","-688","544","-232"
"1418236144.668","-592","400","-176"
"1418236144.752","-544","392","-504"
"1418236144.833","-464","864","-720"
"1418236144.916","-280","1288","-848"
"1418236144.999","-208","1328","-696"
"1418236145.083","-184","1168","-512"
"1418236145.166","-80","992","-424"
"1418236145.249","64","704","-512"
"1418236145.332","232","432","-576"
"1418236145.415","352","192","-640"
"1418236145.498","448","360","-640"
"1418236145.581","464","368","-616"
"1418236145.666","480","384","-680"
"1418236145.747","472","464","-656"
"1418236145.830","408","680","-560"
"1418236145.913","432","640","-432"
"1418236145.996","344","8","-536"
"1418236146.080","472","-1344","-944"
"1418236146.162","720","-984","-616"
"1418236146.245","672","120","-520"
"1418236146.328","496","392","-624"
"1418236146.661","656","-824","-480"
"1418236146.744","704","-320","-584"
"1418236146.827","528","144","-264"
"1418236146.910","384","-424","-616"
"1418236146.993","432","-888","-848"
"1418236147.076","448","-1344","-432"
"1418236147.160","656","-880","-376"
"1418236147.242","832","-88","-400"
"1418236147.325","608","32","-584"
"1418236147.574","608","-664","-368"
"1418236147.658","576","-456","-288"
"1418236147.741","488","-632","-1096"
"1418236147.824","528","-800","-712"
"1418236147.909","592","-832","-688"
"1418236147.990","584","-232","-464"
"1418236148.073","568","168","-488"
"1418236148.156","576","104","-1184"
"1418236148.239","888","8","-552"
"1418236148.322","1072","-128","-568"
"1418236148.405","896","-8","-416"
"1418236148.488","560","16","-472"
"1418236148.571","528","-80","-1008"
"1418236148.654","1032","-64","-400"
"1418236148.737","1192","-192","-368"
"1418236150.547","592","624","-328"
"1418236150.647","1008","-608","-112"
"1418236150.730","880","-128","-264"
"1418236150.813","744","24","-256"
"1418236150.896","568","272","-272"
"1418236150.979","416","800","-664"
"1418236151.062","568","1048","-752"
"1418236151.145","872","736","-280"
"1418236151.228","968","296","48"
"1418236151.394","552","104","-544"
"1418236151.477","512","1096","-664"
"1418236151.560","784","1088","-280"
"1418236151.643","776","544","-216"
"1418236151.726","664","184","-96"
"1418236151.810","552","96","-712"
"1418236151.892","368","456","-400"
"1418236151.975","232","680","-392"
"1418236152.058","184","696","-104"
"1418236152.141","296","776","-128"
"1418236152.224","168","832","-504"
"1418236152.307","-64","1152","-584"
"1418236152.391","-232","1040","-688"
"1418236152.474","-440","672","-960"
"1418236152.557","-584","624","-912"
"1418236152.640","-688","528","-736"
"1418236152.723","-760","464","-600"
"1418236152.806","-856","368","-464"
"1418236152.889","-952","352","-376"
